drug_name,pack_size,concession_price_p,month,source,is_shortage,cookie,duration,description,product,new_category_h_price_(march_2026),previous_category_c_price_(based_on),price_increase_or_decrease
Rosuvastatin 20mg tablets,28,£3.17,2026-03,CPE_archive,1,,,,,,,
Rosuvastatin 40mg tablets,28,£1.99,2026-03,CPE_archive,1,,,,,,,
Rosuvastatin 5mg tablets,28,£1.90,2026-03,CPE_archive,1,,,,,,,
Sertraline 50mg tablets,28,£0.81,2026-03,CPE_archive,1,,,,,,,
Sitagliptin 100mg tablets,28,£2.45,2026-03,CPE_archive,1,,,,,,,
Sitagliptin 100mg/5ml oral solution sugar free,150,£20.30,2026-03,CPE_archive,1,,,,,,,
Sodium bicarbonate 500mg capsules,56,£6.00,2026-03,CPE_archive,1,,,,,,,
Sotalol 40mg tablets,28,£2.60,2026-03,CPE_archive,1,,,,,,,
Sotalol 80mg tablets,28,£4.94,2026-03,CPE_archive,1,,,,,,,
Sulfasalazine 500mg tablets,112,£6.61,2026-03,CPE_archive,1,,,,,,,
Sulpiride 200mg tablets,30,£5.71,2026-03,CPE_archive,1,,,,,,,
Temazepam 10mg tablets,28,£24.19,2026-03,CPE_archive,1,,,,,,,
Thiamine 100mg tablets,100,£2.60,2026-03,CPE_archive,1,,,,,,,
Tibolone 2.5mg tablets,28,£4.30,2026-03,CPE_archive,1,,,,,,,
Timolol 0.25% eye drops,5,£2.51,2026-03,CPE_archive,1,,,,,,,
Timolol 0.5% eye drops,5,£2.41,2026-03,CPE_archive,1,,,,,,,
Tolterodine 1mg tablets,56,£12.20,2026-03,CPE_archive,1,,,,,,,
Tolterodine 2mg tablets,56,£12.20,2026-03,CPE_archive,1,,,,,,,
Tolterodine 4mg modified-release capsules,28,£23.43,2026-03,CPE_archive,1,,,,,,,
Topiramate 100mg tablets,60,£1.95,2026-03,CPE_archive,1,,,,,,,
Tramadol 50mg capsules,30,£0.78,2026-03,CPE_archive,1,,,,,,,
Tramadol 50mg capsules,100,£2.59,2026-03,CPE_archive,1,,,,,,,
Trihexyphenidyl 2mg tablets,84,£123.63,2026-03,CPE_archive,1,,,,,,,
Trimethoprim 100mg tablets,28,£4.07(previously £3.70),2026-03,CPE_archive,1,,,,,,,
Trimethoprim 50mg/5ml oral suspension sugar free,100,£9.36,2026-03,CPE_archive,1,,,,,,,
Valaciclovir 500mg tablets,10,£14.28,2026-03,CPE_archive,1,,,,,,,
Valsartan 80mg capsules,28,£6.46,2026-03,CPE_archive,1,,,,,,,
Venlafaxine 150mg modified-release tablets*,30,£6.32,2026-03,CPE_archive,1,,,,,,,
Venlafaxine 37.5mg tablets,56,£2.60,2026-03,CPE_archive,1,,,,,,,
Zolmitriptan 2.5mg orodispersible tablets sugar free,6,£3.97,2026-03,CPE_archive,1,,,,,,,
,,,2026-03,CPE_archive,1,cookielawinfo-checkbox-analytics,11 months,"This cookie is set by GDPR Cookie Consent plugin. The cookie is used to store the user consent for the cookies in the category ""Analytics"".",,,,
