molecule,api_manufacturer_count,api_concentration_risk,api_india_china_pct,api_single_source,api_india_count,api_china_count,api_uk_eu_count,us_shortage_active,us_shortage_total
exemestane,0,UNKNOWN,-1,0,0,0,0,0,0
acetazolamide,0,UNKNOWN,-1,0,0,0,0,0,0
tadalafil,0,UNKNOWN,-1,0,0,0,0,0,0
alendronic,0,UNKNOWN,-1,0,0,0,0,0,0
cimetidine,0,UNKNOWN,-1,0,0,0,0,0,0
metronidazole,0,UNKNOWN,-1,0,0,0,0,4,4
prochlorperazine,0,UNKNOWN,-1,0,0,0,0,0,0
telmisartan,0,UNKNOWN,-1,0,0,0,0,0,0
oxazepam,0,UNKNOWN,-1,0,0,0,0,0,0
tibolone,0,UNKNOWN,-1,0,0,0,0,0,0
senna,0,UNKNOWN,-1,0,0,0,0,0,0
citalopram,0,UNKNOWN,-1,0,0,0,0,0,0
flucloxacillin,0,UNKNOWN,-1,0,0,0,0,0,0
famotidine,0,UNKNOWN,-1,0,0,0,0,0,0
dorzolamide,0,UNKNOWN,-1,0,0,0,0,0,0
carbimazole,0,UNKNOWN,-1,0,0,0,0,0,0
nicorandil,0,UNKNOWN,-1,0,0,0,0,0,0
naproxen,0,UNKNOWN,-1,0,0,0,0,0,0
sotalol,0,UNKNOWN,-1,0,0,0,0,0,0
cinacalcet,0,UNKNOWN,-1,0,0,0,0,0,0
amoxicillin,3,HIGH,67,0,1,1,1,0,0
domperidone,0,UNKNOWN,-1,0,0,0,0,0,0
ipratropium,0,UNKNOWN,-1,0,0,0,0,0,0
quetiapine,3,HIGH,67,0,2,0,0,0,0
losartan,0,UNKNOWN,-1,0,0,0,0,0,0
isotretinoin,0,UNKNOWN,-1,0,0,0,0,0,0
lamotrigine,0,UNKNOWN,-1,0,0,0,0,0,0
frovatriptan,0,UNKNOWN,-1,0,0,0,0,0,2
warfarin,3,HIGH,0,0,0,0,0,0,0
desloratadine,0,UNKNOWN,-1,0,0,0,0,0,0
anastrozole,0,UNKNOWN,-1,0,0,0,0,0,0
benzoyl,0,UNKNOWN,-1,0,0,0,0,0,1
norethisterone,0,UNKNOWN,-1,0,0,0,0,0,0
colecalciferol,0,UNKNOWN,-1,0,0,0,0,0,0
loperamide,0,UNKNOWN,-1,0,0,0,0,0,0
amantadine,0,UNKNOWN,-1,0,0,0,0,0,5
prednisolone,0,UNKNOWN,-1,0,0,0,0,0,0
amorolfine,0,UNKNOWN,-1,0,0,0,0,0,0
lorazepam,0,UNKNOWN,-1,0,0,0,0,10,11
glimepiride,0,UNKNOWN,-1,0,0,0,0,0,0
dipyridamole,0,UNKNOWN,-1,0,0,0,0,0,0
mebeverine,0,UNKNOWN,-1,0,0,0,0,0,0
clomipramine,0,UNKNOWN,-1,0,0,0,0,0,0
carvedilol,0,UNKNOWN,-1,0,0,0,0,0,0
chloramphenicol,0,UNKNOWN,-1,0,0,0,0,0,0
calcipotriol,0,UNKNOWN,-1,0,0,0,0,0,0
labetalol,0,UNKNOWN,-1,0,0,0,0,0,0
tamsulosin,0,UNKNOWN,-1,0,0,0,0,0,3
lercanidipine,0,UNKNOWN,-1,0,0,0,0,0,0
azithromycin,3,HIGH,67,0,2,0,0,0,2
baclofen,0,UNKNOWN,-1,0,0,0,0,0,12
escitalopram,0,UNKNOWN,-1,0,0,0,0,0,0
cefradine,0,UNKNOWN,-1,0,0,0,0,0,0
quinine,0,UNKNOWN,-1,0,0,0,0,0,0
valsartan,0,UNKNOWN,-1,0,0,0,0,0,4
co-amilozide,0,UNKNOWN,-1,0,0,0,0,0,0
chlorpromazine,0,UNKNOWN,-1,0,0,0,0,0,0
betahistine,0,UNKNOWN,-1,0,0,0,0,0,0
tetracycline,0,UNKNOWN,-1,0,0,0,0,0,0
cilostazol,0,UNKNOWN,-1,0,0,0,0,0,0
calcium,0,UNKNOWN,-1,0,0,0,0,0,1
metoprolol,0,UNKNOWN,-1,0,0,0,0,0,8
co-fluampicil,0,UNKNOWN,-1,0,0,0,0,0,0
