drug,month,price_gbp
Acamprosate 333mg gastro-resistant tablets,2022-04,25.7
Acamprosate 333mg gastro-resistant tablets,2022-07,26.07
Acamprosate 333mg gastro-resistant tablets,2022-10,27.07
Acamprosate 333mg gastro-resistant tablets,2022-12,28.29
Acamprosate 333mg gastro-resistant tablets,2023-01,24.87
Acamprosate 333mg gastro-resistant tablets,2023-04,23.67
Acamprosate 333mg gastro-resistant tablets,2023-07,21.79
Acamprosate 333mg gastro-resistant tablets,2023-10,22.09
Acamprosate 333mg gastro-resistant tablets,2024-01,22.02
Acamprosate 333mg gastro-resistant tablets,2024-04,23.19
Acamprosate 333mg gastro-resistant tablets,2024-07,21.02
Acamprosate 333mg gastro-resistant tablets,2024-08,21.64
Acamprosate 333mg gastro-resistant tablets,2024-09,21.64
Acamprosate 333mg gastro-resistant tablets,2024-10,21.8
Acamprosate 333mg gastro-resistant tablets,2025-01,20.56
Acamprosate 333mg gastro-resistant tablets,2025-04,23.99
Acamprosate 333mg gastro-resistant tablets,2025-07,24.14
Acamprosate 333mg gastro-resistant tablets,2025-09,24.14
Acamprosate 333mg gastro-resistant tablets,2025-10,21.72
Acamprosate 333mg gastro-resistant tablets,2026-01,22.17
Acetazolamide 250mg tablets,2021-01,8.95
Acetazolamide 250mg tablets,2021-04,8.35
Acetazolamide 250mg tablets,2021-07,6.63
Acetazolamide 250mg tablets,2021-10,6.08
Acetazolamide 250mg tablets,2022-01,5.17
Acetazolamide 250mg tablets,2022-04,5.36
Acetazolamide 250mg tablets,2022-07,5.89
Acetazolamide 250mg tablets,2022-10,5.57
Acetazolamide 250mg tablets,2022-12,5.81
Acetazolamide 250mg tablets,2023-01,5.37
Acetazolamide 250mg tablets,2023-04,5.13
Acetazolamide 250mg tablets,2023-07,4.4
Acetazolamide 250mg tablets,2023-10,4.05
Acetazolamide 250mg tablets,2024-01,9.7
Acetazolamide 250mg tablets,2024-04,6.09
Acetazolamide 250mg tablets,2024-07,5.36
Acetazolamide 250mg tablets,2024-08,5.39
Acetazolamide 250mg tablets,2024-09,5.39
Acetazolamide 250mg tablets,2024-10,5.14
Acetazolamide 250mg tablets,2025-01,4.92
Acetazolamide 250mg tablets,2025-04,5.18
Acetazolamide 250mg tablets,2025-07,8.87
Acetazolamide 250mg tablets,2025-09,8.87
Acetazolamide 250mg tablets,2025-10,47.41
Acetazolamide 250mg tablets,2026-01,28.19
Aciclovir 200mg tablets,2021-01,1.85
Aciclovir 200mg tablets,2021-04,1.83
Aciclovir 200mg tablets,2021-07,1.63
Aciclovir 200mg tablets,2021-10,1.53
Aciclovir 200mg tablets,2022-01,1.31
Aciclovir 200mg tablets,2022-04,1.32
Aciclovir 200mg tablets,2022-07,1.32
Aciclovir 200mg tablets,2022-10,1.38
Aciclovir 200mg tablets,2022-12,1.43
Aciclovir 200mg tablets,2023-01,1.4
Aciclovir 200mg tablets,2023-04,1.36
Aciclovir 200mg tablets,2023-07,1.27
Aciclovir 200mg tablets,2023-10,1.27
Aciclovir 200mg tablets,2024-01,1.37
Aciclovir 200mg tablets,2024-04,1.23
Aciclovir 200mg tablets,2024-07,1.34
Aciclovir 200mg tablets,2024-08,1.23
Aciclovir 200mg tablets,2024-09,1.23
Aciclovir 200mg tablets,2024-10,1.15
Aciclovir 200mg tablets,2025-01,1.16
Aciclovir 200mg tablets,2025-04,1.16
Aciclovir 200mg tablets,2025-07,1.06
Aciclovir 200mg tablets,2025-09,1.06
Aciclovir 200mg tablets,2025-10,1.02
Aciclovir 200mg tablets,2026-01,0.92
Aciclovir 400mg tablets,2021-01,3.5
Aciclovir 400mg tablets,2021-04,3.59
Aciclovir 400mg tablets,2021-07,3.25
Aciclovir 400mg tablets,2021-10,2.94
Aciclovir 400mg tablets,2022-01,2.55
Aciclovir 400mg tablets,2022-04,2.55
Aciclovir 400mg tablets,2022-07,2.66
Aciclovir 400mg tablets,2022-10,3.08
Aciclovir 400mg tablets,2022-12,3.21
Aciclovir 400mg tablets,2023-01,3.1
Aciclovir 400mg tablets,2023-04,2.95
Aciclovir 400mg tablets,2023-07,2.72
Aciclovir 400mg tablets,2023-10,2.66
Aciclovir 400mg tablets,2024-01,2.8
Aciclovir 400mg tablets,2024-04,2.69
Aciclovir 400mg tablets,2024-07,2.7
Aciclovir 400mg tablets,2024-08,2.64
Aciclovir 400mg tablets,2024-09,2.64
Aciclovir 400mg tablets,2024-10,2.51
Aciclovir 400mg tablets,2025-01,2.46
Aciclovir 400mg tablets,2025-04,2.56
Aciclovir 400mg tablets,2025-07,2.35
Aciclovir 400mg tablets,2025-09,2.35
Aciclovir 400mg tablets,2025-10,2.16
Aciclovir 400mg tablets,2026-01,2.11
Aciclovir 800mg tablets,2021-01,4.36
Aciclovir 800mg tablets,2021-04,4.29
Aciclovir 800mg tablets,2021-07,3.97
Aciclovir 800mg tablets,2021-10,3.43
Aciclovir 800mg tablets,2022-01,2.88
Aciclovir 800mg tablets,2022-04,2.76
Aciclovir 800mg tablets,2022-07,2.89
Aciclovir 800mg tablets,2022-10,3.15
Aciclovir 800mg tablets,2022-12,3.28
Aciclovir 800mg tablets,2023-01,3.45
Aciclovir 800mg tablets,2023-04,3.4
Aciclovir 800mg tablets,2023-07,3.3
Aciclovir 800mg tablets,2023-10,3.44
Aciclovir 800mg tablets,2024-01,3.65
Aciclovir 800mg tablets,2024-04,3.56
Aciclovir 800mg tablets,2024-07,3.46
Aciclovir 800mg tablets,2024-08,3.43
Aciclovir 800mg tablets,2024-09,3.43
Aciclovir 800mg tablets,2024-10,3.3
Aciclovir 800mg tablets,2025-01,3.18
Aciclovir 800mg tablets,2025-04,3.44
Aciclovir 800mg tablets,2025-07,3.16
Aciclovir 800mg tablets,2025-09,3.16
Aciclovir 800mg tablets,2025-10,2.69
Aciclovir 800mg tablets,2026-01,2.43
Alendronic acid 10mg tablets,2021-01,7.62
Alendronic acid 10mg tablets,2021-04,6.75
Alendronic acid 10mg tablets,2021-07,6.48
Alendronic acid 10mg tablets,2021-10,6.82
Alendronic acid 10mg tablets,2022-01,5.06
Alendronic acid 10mg tablets,2022-04,5.29
Alendronic acid 10mg tablets,2022-07,5.27
Alendronic acid 10mg tablets,2022-10,5.71
Alendronic acid 10mg tablets,2022-12,5.96
Alendronic acid 70mg tablets,2021-01,0.99
Alendronic acid 70mg tablets,2021-04,1.01
Alendronic acid 70mg tablets,2021-07,0.9
Alendronic acid 70mg tablets,2021-10,0.87
Alendronic acid 70mg tablets,2022-01,0.74
Alendronic acid 70mg tablets,2022-04,0.74
Alendronic acid 70mg tablets,2022-07,0.68
Alendronic acid 70mg tablets,2022-10,0.81
Alendronic acid 70mg tablets,2022-12,0.83
Alendronic acid 70mg tablets,2023-01,5.35
Alendronic acid 70mg tablets,2023-04,3.92
Alendronic acid 70mg tablets,2023-07,1.93
Alendronic acid 70mg tablets,2023-10,1.24
Alendronic acid 70mg tablets,2024-01,1.22
Alendronic acid 70mg tablets,2024-04,0.95
Alendronic acid 70mg tablets,2024-07,1.07
Alendronic acid 70mg tablets,2024-08,0.95
Alendronic acid 70mg tablets,2024-09,0.95
Alendronic acid 70mg tablets,2024-10,0.86
Alendronic acid 70mg tablets,2025-01,0.88
Alendronic acid 70mg tablets,2025-04,0.94
Alendronic acid 70mg tablets,2025-07,1.28
Alendronic acid 70mg tablets,2025-09,1.28
Alendronic acid 70mg tablets,2025-10,1.35
Alendronic acid 70mg tablets,2026-01,1.06
Alfacalcidol 1microgram capsules,2021-01,4.55
Alfacalcidol 1microgram capsules,2021-04,4.71
Alfacalcidol 1microgram capsules,2021-07,4.41
Alfacalcidol 1microgram capsules,2021-10,3.98
Alfacalcidol 1microgram capsules,2022-01,3.44
Alfacalcidol 1microgram capsules,2022-04,3.43
Alfacalcidol 1microgram capsules,2022-07,3.46
Alfacalcidol 1microgram capsules,2022-10,3.58
Alfacalcidol 1microgram capsules,2022-12,3.73
Alfacalcidol 1microgram capsules,2023-01,3.52
Alfacalcidol 1microgram capsules,2023-04,3.48
Alfuzosin 2.5mg tablets,2021-01,1.79
Alfuzosin 2.5mg tablets,2021-04,1.79
Alfuzosin 2.5mg tablets,2021-07,1.59
Alfuzosin 2.5mg tablets,2021-10,1.39
Alfuzosin 2.5mg tablets,2022-01,1.19
Alfuzosin 2.5mg tablets,2022-04,1.18
Alfuzosin 2.5mg tablets,2022-07,1.46
Alfuzosin 2.5mg tablets,2022-10,1.43
Alfuzosin 2.5mg tablets,2022-12,1.48
Alfuzosin 2.5mg tablets,2023-01,1.47
Alfuzosin 2.5mg tablets,2023-04,1.47
Alfuzosin 2.5mg tablets,2023-07,1.37
Alfuzosin 2.5mg tablets,2023-10,1.33
Alfuzosin 2.5mg tablets,2024-01,1.3
Alfuzosin 2.5mg tablets,2024-04,1.29
Alfuzosin 2.5mg tablets,2024-07,1.41
Alfuzosin 2.5mg tablets,2024-08,1.3
Alfuzosin 2.5mg tablets,2024-09,1.3
Alfuzosin 2.5mg tablets,2024-10,1.26
Alfuzosin 2.5mg tablets,2025-01,1.25
Alfuzosin 2.5mg tablets,2025-04,1.27
Alfuzosin 2.5mg tablets,2025-07,3.88
Alfuzosin 2.5mg tablets,2025-09,3.88
Alfuzosin 2.5mg tablets,2025-10,4.22
Alfuzosin 2.5mg tablets,2026-01,6.18
Allopurinol 100mg tablets,2021-01,1.25
Allopurinol 100mg tablets,2021-04,1.23
Allopurinol 100mg tablets,2021-07,1.06
Allopurinol 100mg tablets,2021-10,0.99
Allopurinol 100mg tablets,2022-01,0.86
Allopurinol 100mg tablets,2022-04,0.84
Allopurinol 100mg tablets,2022-07,0.79
Allopurinol 100mg tablets,2022-10,0.81
Allopurinol 100mg tablets,2022-12,0.83
Allopurinol 100mg tablets,2023-01,0.88
Allopurinol 100mg tablets,2023-04,0.84
Allopurinol 100mg tablets,2023-07,0.81
Allopurinol 100mg tablets,2023-10,0.75
Allopurinol 100mg tablets,2024-01,0.74
Allopurinol 100mg tablets,2024-04,0.71
Allopurinol 100mg tablets,2024-07,0.88
Allopurinol 100mg tablets,2024-08,0.75
Allopurinol 100mg tablets,2024-09,0.75
Allopurinol 100mg tablets,2024-10,0.66
Allopurinol 100mg tablets,2025-01,0.66
Allopurinol 100mg tablets,2025-04,0.66
Allopurinol 100mg tablets,2025-07,0.65
Allopurinol 100mg tablets,2025-09,0.65
Allopurinol 100mg tablets,2025-10,0.61
Allopurinol 100mg tablets,2026-01,0.58
Allopurinol 300mg tablets,2021-01,1.76
Allopurinol 300mg tablets,2021-04,1.78
Allopurinol 300mg tablets,2021-07,1.54
Allopurinol 300mg tablets,2021-10,1.37
Allopurinol 300mg tablets,2022-01,1.2
Allopurinol 300mg tablets,2022-04,1.18
Allopurinol 300mg tablets,2022-07,1.12
Allopurinol 300mg tablets,2022-10,1.13
Allopurinol 300mg tablets,2022-12,1.17
Allopurinol 300mg tablets,2023-01,1.18
Allopurinol 300mg tablets,2023-04,1.21
Allopurinol 300mg tablets,2023-07,1.16
Allopurinol 300mg tablets,2023-10,1.03
Allopurinol 300mg tablets,2024-01,0.99
Allopurinol 300mg tablets,2024-04,0.97
Allopurinol 300mg tablets,2024-07,1.11
Allopurinol 300mg tablets,2024-08,0.99
Allopurinol 300mg tablets,2024-09,0.99
Allopurinol 300mg tablets,2024-10,0.91
Allopurinol 300mg tablets,2025-01,0.86
Allopurinol 300mg tablets,2025-04,0.86
Allopurinol 300mg tablets,2025-07,0.8
Allopurinol 300mg tablets,2025-09,0.8
Allopurinol 300mg tablets,2025-10,0.73
Allopurinol 300mg tablets,2026-01,0.72
Alverine 120mg capsules,2021-01,9.28
Alverine 120mg capsules,2021-04,8.35
Alverine 120mg capsules,2021-07,6.42
Alverine 120mg capsules,2021-10,5.99
Alverine 120mg capsules,2022-01,4.53
Alverine 120mg capsules,2022-04,4.04
Alverine 120mg capsules,2022-07,4.18
Alverine 120mg capsules,2022-10,4.26
Alverine 120mg capsules,2022-12,4.44
Alverine 120mg capsules,2023-01,4.01
Alverine 120mg capsules,2023-04,3.9
Alverine 120mg capsules,2023-07,3.36
Alverine 120mg capsules,2023-10,3.21
Alverine 120mg capsules,2024-01,2.99
Alverine 60mg capsules,2021-01,8.07
Alverine 60mg capsules,2021-04,7.64
Alverine 60mg capsules,2021-07,6.15
Alverine 60mg capsules,2021-10,5.57
Alverine 60mg capsules,2022-01,4.46
Alverine 60mg capsules,2022-04,3.9
Alverine 60mg capsules,2022-07,3.96
Alverine 60mg capsules,2022-10,3.96
Alverine 60mg capsules,2022-12,4.13
Alverine 60mg capsules,2023-01,3.79
Alverine 60mg capsules,2023-04,3.63
Alverine 60mg capsules,2023-07,3.26
Alverine 60mg capsules,2023-10,3.06
Alverine 60mg capsules,2024-01,2.85
Amantadine 100mg capsules,2021-01,26.06
Amantadine 100mg capsules,2021-04,26.34
Amantadine 100mg capsules,2021-07,22.6
Amantadine 100mg capsules,2021-10,20.79
Amantadine 100mg capsules,2022-01,17.77
Amantadine 100mg capsules,2022-04,14.07
Amantadine 100mg capsules,2022-07,14.61
Amantadine 100mg capsules,2022-10,13.67
Amantadine 100mg capsules,2022-12,14.28
Amantadine 100mg capsules,2023-01,11.83
Amantadine 100mg capsules,2023-04,10.82
Amantadine 100mg capsules,2023-07,8.84
Amantadine 100mg capsules,2023-10,7.82
Amantadine 100mg capsules,2024-01,6.03
Amantadine 100mg capsules,2024-04,6.23
Amantadine 100mg capsules,2024-07,6.13
Amantadine 100mg capsules,2024-08,6.19
Amantadine 100mg capsules,2024-09,6.19
Amantadine 100mg capsules,2024-10,6.21
Amantadine 100mg capsules,2025-01,11.83
Amantadine 100mg capsules,2025-04,16.73
Amantadine 100mg capsules,2025-07,11.11
Amantadine 100mg capsules,2025-09,11.11
Amantadine 100mg capsules,2025-10,7.34
Amantadine 100mg capsules,2026-01,5.9
Amiloride 5mg tablets,2021-01,36.65
Amiloride 5mg tablets,2021-04,33.41
Amiloride 5mg tablets,2021-07,30.36
Amiloride 5mg tablets,2021-10,30.5
Amiloride 5mg tablets,2022-01,21.85
Amiloride 5mg tablets,2022-04,15.66
Amiloride 5mg tablets,2022-07,15.08
Amiloride 5mg tablets,2022-10,15.08
Amiloride 5mg tablets,2022-12,15.75
Amiloride 5mg tablets,2023-01,11.13
Amiloride 5mg tablets,2023-04,12.32
Amiloride 5mg tablets,2023-07,11.3
Amiloride 5mg tablets,2023-10,13.24
Amiloride 5mg tablets,2024-01,15.07
Amiloride 5mg tablets,2024-04,15.94
Amiloride 5mg tablets,2024-07,13.07
Amiloride 5mg tablets,2024-08,13.4
Amiloride 5mg tablets,2024-09,13.4
Amiloride 5mg tablets,2024-10,16.73
Amiloride 5mg tablets,2025-01,16.52
Amiloride 5mg tablets,2025-04,16.73
Amiloride 5mg tablets,2025-07,15.08
Amiloride 5mg tablets,2025-09,15.08
Amiloride 5mg tablets,2025-10,15.25
Amiloride 5mg tablets,2026-01,13.88
Amiodarone 200mg tablets,2021-01,2.44
Amiodarone 200mg tablets,2021-04,2.56
Amiodarone 200mg tablets,2021-07,2.27
Amiodarone 200mg tablets,2021-10,2.23
Amiodarone 200mg tablets,2022-01,1.85
Amiodarone 200mg tablets,2022-04,1.72
Amiodarone 200mg tablets,2022-07,1.67
Amiodarone 200mg tablets,2022-10,1.66
Amiodarone 200mg tablets,2022-12,1.72
Amiodarone 200mg tablets,2023-01,1.65
Amiodarone 200mg tablets,2023-04,1.62
Amiodarone 200mg tablets,2023-07,1.52
Amiodarone 200mg tablets,2023-10,1.52
Amiodarone 200mg tablets,2024-01,1.67
Amiodarone 200mg tablets,2024-04,1.78
Amiodarone 200mg tablets,2024-07,1.94
Amiodarone 200mg tablets,2024-08,1.85
Amiodarone 200mg tablets,2024-09,1.85
Amiodarone 200mg tablets,2024-10,1.78
Amiodarone 200mg tablets,2025-01,1.79
Amiodarone 200mg tablets,2025-04,1.84
Amiodarone 200mg tablets,2025-07,2.09
Amiodarone 200mg tablets,2025-09,2.09
Amiodarone 200mg tablets,2025-10,2.46
Amiodarone 200mg tablets,2026-01,4.85
Amisulpride 100mg tablets,2021-01,6.97
Amisulpride 100mg tablets,2021-04,6.8
Amisulpride 100mg tablets,2021-07,5.4
Amisulpride 100mg tablets,2021-10,5.0
Amisulpride 100mg tablets,2022-01,4.26
Amisulpride 100mg tablets,2022-04,5.2
Amisulpride 100mg tablets,2022-07,5.3
Amisulpride 100mg tablets,2022-10,5.6
Amisulpride 100mg tablets,2022-12,5.84
Amisulpride 100mg tablets,2023-01,10.62
Amisulpride 100mg tablets,2023-04,15.92
Amisulpride 100mg tablets,2023-07,15.79
Amisulpride 100mg tablets,2023-10,14.56
Amisulpride 100mg tablets,2024-01,16.12
Amisulpride 100mg tablets,2024-04,14.68
Amisulpride 100mg tablets,2024-07,13.42
Amisulpride 100mg tablets,2024-08,13.76
Amisulpride 100mg tablets,2024-09,13.76
Amisulpride 100mg tablets,2024-10,12.89
Amisulpride 100mg tablets,2025-01,11.86
Amisulpride 100mg tablets,2025-04,10.91
Amisulpride 100mg tablets,2025-07,8.25
Amisulpride 100mg tablets,2025-09,8.25
Amisulpride 100mg tablets,2025-10,6.4
Amisulpride 100mg tablets,2026-01,5.2
Amisulpride 200mg tablets,2021-01,10.1
Amisulpride 200mg tablets,2021-04,9.71
Amisulpride 200mg tablets,2021-07,7.97
Amisulpride 200mg tablets,2021-10,7.24
Amisulpride 200mg tablets,2022-01,5.89
Amisulpride 200mg tablets,2022-04,5.75
Amisulpride 200mg tablets,2022-07,7.09
Amisulpride 200mg tablets,2022-10,7.37
Amisulpride 200mg tablets,2022-12,7.69
Amisulpride 200mg tablets,2023-01,18.09
Amisulpride 200mg tablets,2023-04,32.34
Amisulpride 200mg tablets,2023-07,29.66
Amisulpride 200mg tablets,2023-10,26.99
Amisulpride 200mg tablets,2024-01,31.9
Amisulpride 200mg tablets,2024-04,30.5
Amisulpride 200mg tablets,2024-07,25.26
Amisulpride 200mg tablets,2024-08,26.04
Amisulpride 200mg tablets,2024-09,26.04
Amisulpride 200mg tablets,2024-10,24.37
Amisulpride 200mg tablets,2025-01,22.3
Amisulpride 200mg tablets,2025-04,21.14
Amisulpride 200mg tablets,2025-07,15.88
Amisulpride 200mg tablets,2025-09,15.88
Amisulpride 200mg tablets,2025-10,12.73
Amisulpride 200mg tablets,2026-01,10.03
Amisulpride 50mg tablets,2021-01,4.34
Amisulpride 50mg tablets,2021-04,3.9
Amisulpride 50mg tablets,2021-07,2.98
Amisulpride 50mg tablets,2021-10,2.68
Amisulpride 50mg tablets,2022-01,2.38
Amisulpride 50mg tablets,2022-04,3.56
Amisulpride 50mg tablets,2022-07,3.73
Amisulpride 50mg tablets,2022-10,3.73
Amisulpride 50mg tablets,2022-12,3.89
Amisulpride 50mg tablets,2023-01,9.51
Amisulpride 50mg tablets,2023-04,11.57
Amisulpride 50mg tablets,2023-07,13.0
Amisulpride 50mg tablets,2023-10,11.59
Amisulpride 50mg tablets,2024-01,11.82
Amisulpride 50mg tablets,2024-04,11.88
Amisulpride 50mg tablets,2024-07,10.12
Amisulpride 50mg tablets,2024-08,10.33
Amisulpride 50mg tablets,2024-09,10.33
Amisulpride 50mg tablets,2024-10,9.88
Amisulpride 50mg tablets,2025-01,9.5
Amisulpride 50mg tablets,2025-04,8.8
Amisulpride 50mg tablets,2025-07,6.3
Amisulpride 50mg tablets,2025-09,6.3
Amisulpride 50mg tablets,2025-10,4.71
Amisulpride 50mg tablets,2026-01,3.69
Amitriptyline 10mg tablets,2021-01,1.08
Amitriptyline 10mg tablets,2021-04,1.08
Amitriptyline 10mg tablets,2021-07,0.97
Amitriptyline 10mg tablets,2021-10,0.87
Amitriptyline 10mg tablets,2022-01,0.76
Amitriptyline 10mg tablets,2022-04,0.76
Amitriptyline 10mg tablets,2022-07,0.68
Amitriptyline 10mg tablets,2022-10,0.69
Amitriptyline 10mg tablets,2022-12,0.71
Amitriptyline 10mg tablets,2023-01,0.74
Amitriptyline 10mg tablets,2023-04,0.75
Amitriptyline 10mg tablets,2023-07,0.73
Amitriptyline 10mg tablets,2023-10,0.65
Amitriptyline 10mg tablets,2024-01,0.66
Amitriptyline 10mg tablets,2024-04,0.63
Amitriptyline 10mg tablets,2024-07,0.8
Amitriptyline 10mg tablets,2024-08,0.67
Amitriptyline 10mg tablets,2024-09,0.67
Amitriptyline 10mg tablets,2024-10,0.59
Amitriptyline 10mg tablets,2025-01,0.6
Amitriptyline 10mg tablets,2025-04,0.61
Amitriptyline 10mg tablets,2025-07,0.59
Amitriptyline 10mg tablets,2025-09,0.59
Amitriptyline 10mg tablets,2025-10,0.6
Amitriptyline 10mg tablets,2026-01,0.57
Amitriptyline 25mg tablets,2021-01,1.03
Amitriptyline 25mg tablets,2021-04,1.08
Amitriptyline 25mg tablets,2021-07,0.98
Amitriptyline 25mg tablets,2021-10,0.91
Amitriptyline 25mg tablets,2022-01,0.79
Amitriptyline 25mg tablets,2022-04,0.78
Amitriptyline 25mg tablets,2022-07,0.68
Amitriptyline 25mg tablets,2022-10,0.7
Amitriptyline 25mg tablets,2022-12,0.72
Amitriptyline 25mg tablets,2023-01,0.77
Amitriptyline 25mg tablets,2023-04,0.79
Amitriptyline 25mg tablets,2023-07,0.75
Amitriptyline 25mg tablets,2023-10,0.68
Amitriptyline 25mg tablets,2024-01,0.68
Amitriptyline 25mg tablets,2024-04,0.64
Amitriptyline 25mg tablets,2024-07,0.82
Amitriptyline 25mg tablets,2024-08,0.68
Amitriptyline 25mg tablets,2024-09,0.68
Amitriptyline 25mg tablets,2024-10,0.61
Amitriptyline 25mg tablets,2025-01,0.63
Amitriptyline 25mg tablets,2025-04,0.64
Amitriptyline 25mg tablets,2025-07,0.63
Amitriptyline 25mg tablets,2025-09,0.63
Amitriptyline 25mg tablets,2025-10,0.62
Amitriptyline 25mg tablets,2026-01,0.6
Amitriptyline 50mg tablets,2021-01,1.8
Amitriptyline 50mg tablets,2021-04,1.8
Amitriptyline 50mg tablets,2021-07,1.55
Amitriptyline 50mg tablets,2021-10,1.38
Amitriptyline 50mg tablets,2022-01,1.17
Amitriptyline 50mg tablets,2022-04,1.14
Amitriptyline 50mg tablets,2022-07,1.01
Amitriptyline 50mg tablets,2022-10,0.99
Amitriptyline 50mg tablets,2022-12,1.02
Amitriptyline 50mg tablets,2023-01,1.01
Amitriptyline 50mg tablets,2023-04,0.98
Amitriptyline 50mg tablets,2023-07,0.95
Amitriptyline 50mg tablets,2023-10,0.86
Amitriptyline 50mg tablets,2024-01,0.85
Amitriptyline 50mg tablets,2024-04,0.82
Amitriptyline 50mg tablets,2024-07,0.97
Amitriptyline 50mg tablets,2024-08,0.84
Amitriptyline 50mg tablets,2024-09,0.84
Amitriptyline 50mg tablets,2024-10,0.78
Amitriptyline 50mg tablets,2025-01,0.79
Amitriptyline 50mg tablets,2025-04,0.79
Amitriptyline 50mg tablets,2025-07,0.77
Amitriptyline 50mg tablets,2025-09,0.77
Amitriptyline 50mg tablets,2025-10,0.74
Amitriptyline 50mg tablets,2026-01,0.7
Amlodipine 10mg tablets,2021-01,1.03
Amlodipine 10mg tablets,2021-04,1.08
Amlodipine 10mg tablets,2021-07,0.97
Amlodipine 10mg tablets,2021-10,0.88
Amlodipine 10mg tablets,2022-01,0.77
Amlodipine 10mg tablets,2022-04,0.76
Amlodipine 10mg tablets,2022-07,0.7
Amlodipine 10mg tablets,2022-10,0.69
Amlodipine 10mg tablets,2022-12,0.71
Amlodipine 10mg tablets,2023-01,0.76
Amlodipine 10mg tablets,2023-04,0.76
Amlodipine 10mg tablets,2023-07,0.76
Amlodipine 10mg tablets,2023-10,0.71
Amlodipine 10mg tablets,2024-01,0.72
Amlodipine 10mg tablets,2024-04,0.66
Amlodipine 10mg tablets,2024-07,0.82
Amlodipine 10mg tablets,2024-08,0.69
Amlodipine 10mg tablets,2024-09,0.69
Amlodipine 10mg tablets,2024-10,0.62
Amlodipine 10mg tablets,2025-01,0.62
Amlodipine 10mg tablets,2025-04,0.62
Amlodipine 10mg tablets,2025-07,0.62
Amlodipine 10mg tablets,2025-09,0.62
Amlodipine 10mg tablets,2025-10,0.61
Amlodipine 10mg tablets,2026-01,0.6
Amlodipine 2.5mg tablets,2023-04,5.97
Amlodipine 2.5mg tablets,2023-07,5.17
Amlodipine 2.5mg tablets,2023-10,5.12
Amlodipine 2.5mg tablets,2024-01,4.91
Amlodipine 2.5mg tablets,2024-04,4.98
Amlodipine 2.5mg tablets,2024-07,4.81
Amlodipine 2.5mg tablets,2024-08,4.83
Amlodipine 2.5mg tablets,2024-09,4.83
Amlodipine 2.5mg tablets,2024-10,4.65
Amlodipine 2.5mg tablets,2025-01,4.54
Amlodipine 2.5mg tablets,2025-04,4.5
Amlodipine 2.5mg tablets,2025-07,4.2
Amlodipine 2.5mg tablets,2025-09,4.2
Amlodipine 2.5mg tablets,2025-10,3.89
Amlodipine 2.5mg tablets,2026-01,3.4
Amlodipine 5mg tablets,2021-01,1.0
Amlodipine 5mg tablets,2021-04,1.05
Amlodipine 5mg tablets,2021-07,0.94
Amlodipine 5mg tablets,2021-10,0.87
Amlodipine 5mg tablets,2022-01,0.77
Amlodipine 5mg tablets,2022-04,0.74
Amlodipine 5mg tablets,2022-07,0.68
Amlodipine 5mg tablets,2022-10,0.66
Amlodipine 5mg tablets,2022-12,0.67
Amlodipine 5mg tablets,2023-01,0.72
Amlodipine 5mg tablets,2023-04,0.71
Amlodipine 5mg tablets,2023-07,0.71
Amlodipine 5mg tablets,2023-10,0.66
Amlodipine 5mg tablets,2024-01,0.67
Amlodipine 5mg tablets,2024-04,0.63
Amlodipine 5mg tablets,2024-07,0.8
Amlodipine 5mg tablets,2024-08,0.66
Amlodipine 5mg tablets,2024-09,0.66
Amlodipine 5mg tablets,2024-10,0.58
Amlodipine 5mg tablets,2025-01,0.59
Amlodipine 5mg tablets,2025-04,0.59
Amlodipine 5mg tablets,2025-07,0.59
Amlodipine 5mg tablets,2025-09,0.59
Amlodipine 5mg tablets,2025-10,0.58
Amlodipine 5mg tablets,2026-01,0.57
Amorolfine 5% medicated nail lacquer,2021-01,8.34
Amorolfine 5% medicated nail lacquer,2021-04,8.29
Amorolfine 5% medicated nail lacquer,2021-07,6.89
Amorolfine 5% medicated nail lacquer,2021-10,6.14
Amorolfine 5% medicated nail lacquer,2022-01,5.27
Amorolfine 5% medicated nail lacquer,2022-04,5.17
Amorolfine 5% medicated nail lacquer,2022-07,5.23
Amorolfine 5% medicated nail lacquer,2022-10,5.29
Amorolfine 5% medicated nail lacquer,2022-12,5.52
Amorolfine 5% medicated nail lacquer,2023-01,7.24
Amorolfine 5% medicated nail lacquer,2023-04,6.99
Amorolfine 5% medicated nail lacquer,2023-07,6.74
Amorolfine 5% medicated nail lacquer,2023-10,6.62
Amorolfine 5% medicated nail lacquer,2024-01,6.61
Amorolfine 5% medicated nail lacquer,2024-04,6.73
Amorolfine 5% medicated nail lacquer,2024-07,6.41
Amorolfine 5% medicated nail lacquer,2024-08,6.48
Amorolfine 5% medicated nail lacquer,2024-09,6.48
Amorolfine 5% medicated nail lacquer,2024-10,8.67
Amorolfine 5% medicated nail lacquer,2025-01,7.76
Amorolfine 5% medicated nail lacquer,2025-04,8.31
Amorolfine 5% medicated nail lacquer,2025-07,7.98
Amorolfine 5% medicated nail lacquer,2025-09,7.98
Amorolfine 5% medicated nail lacquer,2025-10,7.72
Amorolfine 5% medicated nail lacquer,2026-01,7.12
Amoxicillin 125mg/5ml oral suspension,2021-01,1.26
Amoxicillin 125mg/5ml oral suspension,2021-04,1.82
Amoxicillin 125mg/5ml oral suspension,2021-07,1.54
Amoxicillin 125mg/5ml oral suspension,2021-10,1.29
